iter	Passed	Remaining
0	7	7770
1	14	7249
2	21	7132
3	28	7077
4	35	7152
5	43	7149
6	49	7091
7	57	7075
8	64	7070
9	72	7158
10	79	7125
11	86	7083
12	92	7044
13	100	7092
14	107	7075
15	114	7064
16	121	7016
17	127	6976
18	134	6940
19	140	6902
20	147	6884
21	154	6865
22	161	6851
23	167	6821
24	174	6797
25	180	6764
26	187	6743
27	193	6725
28	200	6701
29	206	6685
30	213	6664
31	219	6648
32	226	6650
33	234	6660
34	241	6648
35	247	6639
36	254	6632
37	261	6618
38	268	6605
39	275	6609
40	282	6599
41	288	6583
42	295	6566
43	301	6548
44	307	6531
45	314	6515
46	320	6500
47	327	6495
48	334	6490
49	341	6480
50	347	6471
51	354	6463
52	361	6452
53	367	6437
54	373	6424
55	380	6412
56	387	6410
57	393	6399
58	400	6389
59	407	6379
60	413	6369
61	420	6357
62	426	6345
63	433	6334
64	439	6325
65	446	6317
66	453	6312
67	459	6302
68	466	6295
69	473	6290
70	480	6281
71	487	6283
72	494	6281
73	501	6279
74	508	6271
75	515	6262
76	521	6255
77	528	6247
78	535	6238
79	541	6231
80	548	6225
81	555	6218
82	562	6211
83	568	6204
84	575	6195
85	582	6188
86	588	6181
87	595	6172
88	602	6163
89	608	6154
90	615	6144
91	621	6137
92	628	6132
93	636	6130
94	643	6130
95	651	6131
96	658	6134
97	666	6130
98	673	6130
99	681	6131
100	687	6123
101	694	6114
102	701	6106
103	708	6101
104	714	6091
105	721	6084
106	727	6074
107	734	6067
108	741	6059
109	747	6049
110	754	6040
111	760	6030
112	767	6020
113	773	6013
114	780	6004
115	786	5997
116	793	5988
117	800	5980
118	806	5972
119	813	5964
120	819	5954
121	826	5946
122	832	5937
123	839	5930
124	846	5922
125	852	5914
126	859	5906
127	866	5905
128	873	5899
129	880	5894
130	887	5888
131	894	5884
132	901	5876
133	908	5871
134	915	5865
135	922	5858
136	929	5853
137	935	5846
138	942	5839
139	949	5832
140	956	5827
141	963	5820
142	970	5816
143	977	5808
144	983	5800
145	990	5791
146	997	5786
147	1005	5786
148	1013	5786
149	1020	5780
150	1028	5781
151	1035	5777
152	1042	5772
153	1049	5764
154	1056	5757
155	1063	5751
156	1072	5760
157	1079	5752
158	1086	5746
159	1093	5741
160	1101	5739
161	1108	5732
162	1114	5724
163	1121	5718
164	1128	5711
165	1135	5703
166	1141	5694
167	1148	5686
168	1154	5678
169	1161	5670
170	1168	5662
171	1174	5655
172	1181	5647
173	1187	5638
174	1194	5630
175	1200	5622
176	1207	5615
177	1214	5609
178	1221	5602
179	1228	5595
180	1234	5586
181	1242	5582
182	1248	5575
183	1255	5568
184	1262	5561
185	1270	5562
186	1277	5555
187	1284	5548
188	1291	5541
189	1297	5533
190	1304	5525
191	1311	5517
192	1317	5509
193	1323	5500
194	1330	5493
195	1337	5484
196	1344	5478
197	1350	5471
198	1357	5463
199	1363	5455
200	1370	5447
201	1377	5440
202	1383	5432
203	1390	5426
204	1397	5419
205	1404	5411
206	1410	5403
207	1416	5395
208	1423	5388
209	1430	5381
210	1437	5373
211	1443	5365
212	1450	5357
213	1456	5349
214	1463	5343
215	1469	5335
216	1476	5328
217	1483	5321
218	1489	5313
219	1496	5306
220	1503	5298
221	1509	5290
222	1516	5283
223	1522	5275
224	1530	5270
225	1537	5266
226	1545	5264
227	1554	5264
228	1563	5263
229	1570	5258
230	1578	5254
231	1585	5248
232	1592	5241
233	1598	5233
234	1605	5227
235	1612	5221
236	1619	5214
237	1626	5206
238	1633	5200
239	1639	5192
240	1646	5185
241	1653	5177
242	1659	5170
243	1666	5162
244	1672	5155
245	1681	5152
246	1688	5148
247	1695	5142
248	1702	5134
249	1708	5126
250	1715	5118
251	1721	5110
252	1728	5102
253	1734	5094
254	1741	5087
255	1747	5079
256	1754	5073
257	1761	5065
258	1768	5058
259	1774	5051
260	1782	5045
261	1788	5038
262	1795	5031
263	1802	5024
264	1808	5016
265	1815	5008
266	1821	5000
267	1828	4993
268	1835	4987
269	1841	4979
270	1848	4972
271	1855	4965
272	1861	4958
273	1868	4950
274	1875	4943
275	1882	4936
276	1888	4930
277	1895	4922
278	1901	4914
279	1908	4907
280	1914	4899
281	1921	4891
282	1927	4884
283	1934	4877
284	1941	4870
285	1948	4863
286	1954	4856
287	1961	4849
288	1968	4841
289	1974	4834
290	1981	4827
291	1987	4819
292	1994	4812
293	2001	4805
294	2007	4797
295	2014	4790
296	2020	4782
297	2027	4775
298	2033	4767
299	2039	4759
300	2046	4752
301	2053	4745
302	2059	4738
303	2065	4729
304	2072	4722
305	2078	4714
306	2085	4707
307	2092	4700
308	2099	4694
309	2106	4688
310	2113	4681
311	2119	4674
312	2126	4667
313	2133	4661
314	2140	4654
315	2148	4649
316	2155	4644
317	2163	4639
318	2169	4631
319	2177	4627
320	2185	4621
321	2192	4615
322	2198	4608
323	2205	4601
324	2212	4594
325	2218	4587
326	2225	4580
327	2232	4573
328	2239	4567
329	2246	4560
330	2252	4551
331	2258	4544
332	2265	4537
333	2272	4530
334	2278	4523
335	2285	4516
336	2291	4509
337	2298	4501
338	2305	4494
339	2311	4487
340	2318	4480
341	2325	4473
342	2331	4466
343	2338	4458
344	2344	4451
345	2351	4445
346	2358	4438
347	2365	4431
348	2371	4424
349	2378	4416
350	2384	4409
351	2391	4403
352	2398	4395
353	2404	4388
354	2411	4381
355	2418	4374
356	2424	4367
357	2431	4360
358	2438	4354
359	2444	4345
360	2452	4340
361	2459	4335
362	2466	4328
363	2474	4323
364	2481	4317
365	2488	4309
366	2495	4303
367	2501	4296
368	2508	4289
369	2515	4282
370	2521	4275
371	2528	4268
372	2534	4261
373	2541	4253
374	2547	4246
375	2554	4239
376	2560	4231
377	2566	4223
378	2573	4216
379	2580	4210
380	2587	4203
381	2594	4196
382	2600	4188
383	2606	4181
384	2612	4172
385	2619	4166
386	2625	4159
387	2632	4152
388	2639	4145
389	2645	4137
390	2651	4129
391	2658	4123
392	2664	4114
393	2670	4106
394	2676	4099
395	2683	4092
396	2689	4084
397	2695	4077
398	2702	4070
399	2708	4063
400	2715	4056
401	2722	4049
402	2728	4042
403	2735	4034
404	2740	4026
405	2746	4017
406	2753	4011
407	2758	4002
408	2765	3996
409	2772	3989
410	2779	3982
411	2785	3974
412	2791	3967
413	2798	3960
414	2804	3953
415	2810	3945
416	2817	3938
417	2822	3930
418	2828	3922
419	2834	3914
420	2840	3906
421	2846	3898
422	2852	3891
423	2859	3884
424	2866	3877
425	2872	3871
426	2878	3863
427	2884	3854
428	2890	3846
429	2897	3840
430	2903	3832
431	2908	3824
432	2915	3817
433	2921	3809
434	2927	3801
435	2932	3793
436	2938	3785
437	2945	3778
438	2951	3772
439	2957	3764
440	2964	3757
441	2970	3749
442	2976	3742
443	2983	3735
444	2989	3728
445	2996	3722
446	3003	3715
447	3008	3707
448	3014	3699
449	3021	3692
450	3027	3685
451	3033	3677
452	3038	3669
453	3045	3662
454	3050	3654
455	3056	3646
456	3062	3638
457	3069	3632
458	3075	3625
459	3081	3617
460	3087	3609
461	3093	3602
462	3099	3595
463	3105	3587
464	3112	3580
465	3117	3572
466	3124	3566
467	3130	3558
468	3136	3550
469	3142	3543
470	3149	3537
471	3155	3529
472	3161	3522
473	3167	3514
474	3173	3507
475	3179	3500
476	3185	3492
477	3191	3485
478	3196	3477
479	3202	3469
480	3209	3462
481	3216	3456
482	3222	3449
483	3229	3442
484	3234	3435
485	3241	3428
486	3247	3420
487	3253	3413
488	3258	3405
489	3264	3397
490	3270	3390
491	3277	3383
492	3282	3375
493	3289	3369
494	3296	3362
495	3302	3356
496	3308	3348
497	3314	3341
498	3321	3334
499	3328	3328
500	3334	3321
501	3339	3313
502	3346	3306
503	3351	3298
504	3357	3291
505	3363	3283
506	3369	3276
507	3375	3268
508	3382	3262
509	3388	3255
510	3393	3247
511	3399	3239
512	3405	3232
513	3410	3225
514	3416	3217
515	3422	3210
516	3429	3203
517	3434	3195
518	3440	3189
519	3447	3182
520	3453	3174
521	3460	3168
522	3466	3162
523	3473	3155
524	3479	3148
525	3485	3140
526	3491	3133
527	3497	3126
528	3503	3119
529	3509	3112
530	3515	3105
531	3522	3098
532	3529	3092
533	3534	3084
534	3541	3078
535	3547	3071
536	3558	3068
537	3568	3064
538	3577	3059
539	3585	3054
540	3594	3049
541	3601	3043
542	3608	3036
543	3616	3031
544	3625	3026
545	3636	3023
546	3642	3016
547	3650	3010
548	3657	3004
549	3664	2997
550	3670	2990
551	3675	2983
552	3681	2975
553	3686	2968
554	3693	2961
555	3699	2954
556	3705	2947
557	3712	2940
558	3718	2933
559	3725	2927
560	3732	2920
561	3737	2912
562	3743	2905
563	3748	2897
564	3754	2890
565	3760	2883
566	3766	2876
567	3773	2869
568	3778	2862
569	3784	2854
570	3790	2847
571	3795	2840
572	3802	2833
573	3808	2826
574	3814	2819
575	3820	2812
576	3825	2804
577	3831	2797
578	3837	2790
579	3843	2783
580	3848	2775
581	3854	2768
582	3860	2760
583	3867	2754
584	3873	2747
585	3878	2740
586	3884	2733
587	3890	2725
588	3896	2719
589	3903	2712
590	3909	2705
591	3915	2698
592	3922	2692
593	3929	2686
594	3936	2679
595	3944	2673
596	3950	2666
597	3958	2660
598	3964	2654
599	3970	2647
600	3976	2639
601	3982	2632
602	3988	2625
603	3994	2618
604	4000	2611
605	4006	2604
606	4012	2597
607	4017	2590
608	4023	2583
609	4029	2576
610	4035	2569
611	4041	2561
612	4046	2554
613	4052	2547
614	4058	2540
615	4064	2533
616	4070	2526
617	4076	2519
618	4081	2512
619	4087	2505
620	4093	2498
621	4099	2491
622	4106	2484
623	4112	2478
624	4118	2471
625	4124	2464
626	4130	2457
627	4136	2450
628	4142	2443
629	4148	2436
630	4153	2429
631	4160	2422
632	4165	2415
633	4171	2408
634	4176	2400
635	4182	2393
636	4188	2387
637	4195	2380
638	4200	2373
639	4206	2366
640	4212	2359
641	4218	2352
642	4224	2345
643	4229	2338
644	4235	2331
645	4241	2324
646	4248	2317
647	4254	2310
648	4260	2303
649	4266	2297
650	4272	2290
651	4278	2283
652	4283	2276
653	4289	2269
654	4295	2262
655	4300	2255
656	4306	2248
657	4312	2241
658	4317	2234
659	4324	2227
660	4329	2220
661	4335	2213
662	4340	2206
663	4347	2199
664	4352	2192
665	4358	2185
666	4363	2178
667	4369	2171
668	4374	2164
669	4380	2157
670	4385	2150
671	4391	2143
672	4398	2137
673	4404	2130
674	4411	2123
675	4417	2117
676	4422	2110
677	4428	2103
678	4434	2096
679	4439	2089
680	4446	2083
681	4453	2076
682	4459	2069
683	4466	2063
684	4473	2056
685	4478	2050
686	4484	2043
687	4491	2036
688	4498	2030
689	4505	2024
690	4511	2017
691	4519	2011
692	4526	2005
693	4533	1999
694	4540	1992
695	4546	1985
696	4552	1978
697	4558	1972
698	4563	1965
699	4569	1958
700	4574	1951
701	4580	1944
702	4586	1937
703	4591	1930
704	4597	1923
705	4603	1916
706	4608	1910
707	4614	1903
708	4620	1896
709	4625	1889
710	4631	1882
711	4636	1875
712	4642	1868
713	4649	1862
714	4654	1855
715	4660	1848
716	4666	1841
717	4672	1835
718	4677	1828
719	4684	1821
720	4690	1814
721	4696	1808
722	4702	1801
723	4707	1794
724	4713	1787
725	4718	1780
726	4724	1774
727	4729	1767
728	4735	1760
729	4741	1753
730	4748	1747
731	4754	1740
732	4760	1733
733	4766	1727
734	4772	1720
735	4778	1713
736	4783	1707
737	4789	1700
738	4795	1693
739	4801	1687
740	4808	1680
741	4814	1674
742	4821	1667
743	4827	1660
744	4832	1654
745	4838	1647
746	4844	1640
747	4849	1633
748	4855	1627
749	4861	1620
750	4867	1613
751	4873	1607
752	4878	1600
753	4884	1593
754	4889	1586
755	4895	1579
756	4900	1573
757	4906	1566
758	4912	1559
759	4918	1553
760	4924	1546
761	4930	1540
762	4936	1533
763	4941	1526
764	4947	1519
765	4953	1513
766	4959	1506
767	4965	1499
768	4970	1493
769	4979	1487
770	4985	1480
771	4992	1474
772	4999	1468
773	5004	1461
774	5010	1454
775	5016	1448
776	5021	1441
777	5027	1434
778	5033	1428
779	5039	1421
780	5045	1414
781	5051	1408
782	5056	1401
783	5062	1394
784	5069	1388
785	5075	1381
786	5081	1375
787	5087	1368
788	5093	1362
789	5099	1355
790	5106	1349
791	5113	1342
792	5121	1336
793	5128	1330
794	5134	1324
795	5140	1317
796	5146	1310
797	5152	1304
798	5157	1297
799	5163	1290
800	5169	1284
801	5175	1277
802	5181	1271
803	5187	1264
804	5192	1257
805	5198	1251
806	5204	1244
807	5210	1238
808	5216	1231
809	5221	1224
810	5227	1218
811	5233	1211
812	5238	1205
813	5244	1198
814	5250	1191
815	5255	1185
816	5261	1178
817	5267	1172
818	5273	1165
819	5279	1158
820	5285	1152
821	5292	1145
822	5298	1139
823	5304	1132
824	5310	1126
825	5316	1119
826	5321	1113
827	5327	1106
828	5332	1099
829	5339	1093
830	5344	1087
831	5350	1080
832	5356	1073
833	5361	1067
834	5366	1060
835	5372	1053
836	5378	1047
837	5384	1040
838	5390	1034
839	5396	1027
840	5403	1021
841	5408	1014
842	5414	1008
843	5420	1001
844	5427	995
845	5432	988
846	5438	982
847	5444	975
848	5449	969
849	5456	962
850	5462	956
851	5468	949
852	5473	943
853	5479	936
854	5484	930
855	5490	923
856	5496	917
857	5502	910
858	5508	904
859	5514	897
860	5519	891
861	5525	884
862	5530	878
863	5536	871
864	5542	864
865	5548	858
866	5554	852
867	5560	845
868	5566	839
869	5571	832
870	5576	825
871	5582	819
872	5587	812
873	5593	806
874	5599	799
875	5604	793
876	5610	786
877	5615	780
878	5621	773
879	5627	767
